Fecha,Area,Toneladas
2026-04-01,Molienda,1173
2026-04-02,Flotacion,1210
2026-04-03,Espesamiento,1247
2026-04-04,Relaves,1284
2026-04-05,Filtrado,1321
2026-04-06,Molienda,1358
2026-04-07,Flotacion,1395
2026-04-08,Espesamiento,1432
2026-04-09,Relaves,1469
2026-04-10,Filtrado,1506
2026-04-11,Molienda,1543
2026-04-12,Flotacion,1580
2026-04-13,Espesamiento,1617
2026-04-14,Relaves,1654
2026-04-15,Filtrado,1691
2026-04-16,Molienda,1728
2026-04-17,Flotacion,1765
2026-04-18,Espesamiento,1802
2026-04-19,Relaves,1839
2026-04-20,Filtrado,1876
2026-04-21,Molienda,1913
2026-04-22,Flotacion,1950
2026-04-23,Espesamiento,1987
2026-04-24,Relaves,2024
2026-04-25,Filtrado,2061
2026-04-26,Molienda,2098
2026-04-27,Flotacion,2135
2026-04-28,Espesamiento,2172
2026-04-29,Relaves,2209
2026-04-30,Filtrado,2246
