Fecha,Area,Toneladas
2026-03-01,Molienda,1082
2026-03-02,Flotacion,1119
2026-03-03,Espesamiento,1156
2026-03-04,Relaves,1193
2026-03-05,Filtrado,1230
2026-03-06,Molienda,1267
2026-03-07,Flotacion,1304
2026-03-08,Espesamiento,1341
2026-03-09,Relaves,1378
2026-03-10,Filtrado,1415
2026-03-11,Molienda,1452
2026-03-12,Flotacion,1489
2026-03-13,Espesamiento,1526
2026-03-14,Relaves,1563
2026-03-15,Filtrado,1600
2026-03-16,Molienda,1637
2026-03-17,Flotacion,1674
2026-03-18,Espesamiento,1711
2026-03-19,Relaves,1748
2026-03-20,Filtrado,1785
2026-03-21,Molienda,1822
2026-03-22,Flotacion,1859
2026-03-23,Espesamiento,1896
2026-03-24,Relaves,1933
2026-03-25,Filtrado,1970
2026-03-26,Molienda,2007
2026-03-27,Flotacion,2044
2026-03-28,Espesamiento,2081
2026-03-29,Relaves,2118
2026-03-30,Filtrado,2155
