Fecha,Area,Toneladas
2026-01-01,Molienda,900
2026-01-02,Flotacion,937
2026-01-03,Espesamiento,974
2026-01-04,Relaves,1011
2026-01-05,Filtrado,1048
2026-01-06,Molienda,1085
2026-01-07,Flotacion,1122
2026-01-08,Espesamiento,1159
2026-01-09,Relaves,1196
2026-01-10,Filtrado,1233
2026-01-11,Molienda,1270
2026-01-12,Flotacion,1307
2026-01-13,Espesamiento,1344
2026-01-14,Relaves,1381
2026-01-15,Filtrado,1418
2026-01-16,Molienda,1455
2026-01-17,Flotacion,1492
2026-01-18,Espesamiento,1529
2026-01-19,Relaves,1566
2026-01-20,Filtrado,1603
2026-01-21,Molienda,1640
2026-01-22,Flotacion,1677
2026-01-23,Espesamiento,1714
2026-01-24,Relaves,1751
2026-01-25,Filtrado,1788
2026-01-26,Molienda,1825
2026-01-27,Flotacion,1862
2026-01-28,Espesamiento,1899
2026-01-29,Relaves,1936
2026-01-30,Filtrado,1973
