Fecha,Area,Toneladas
2026-02-01,Molienda,991
2026-02-02,Flotacion,1028
2026-02-03,Espesamiento,1065
2026-02-04,Relaves,1102
2026-02-05,Filtrado,1139
2026-02-06,Molienda,1176
2026-02-07,Flotacion,1213
2026-02-08,Espesamiento,1250
2026-02-09,Relaves,1287
2026-02-10,Filtrado,1324
2026-02-11,Molienda,1361
2026-02-12,Flotacion,1398
2026-02-13,Espesamiento,1435
2026-02-14,Relaves,1472
2026-02-15,Filtrado,1509
2026-02-16,Molienda,1546
2026-02-17,Flotacion,1583
2026-02-18,Espesamiento,1620
2026-02-19,Relaves,1657
2026-02-20,Filtrado,1694
2026-02-21,Molienda,1731
2026-02-22,Flotacion,1768
2026-02-23,Espesamiento,1805
2026-02-24,Relaves,1842
2026-02-25,Filtrado,1879
2026-02-26,Molienda,1916
2026-02-27,Flotacion,1953
2026-02-28,Espesamiento,1990
2026-03-01,Relaves,2027
2026-03-02,Filtrado,2064
